"Individual_id","Species","sex","d13C_NA","d13C_DP","d13C_Plas","d13C_RBC","d15N_NA","d15N_DP","d15N_Plas","d15N_RBC","CN.ratio_NA","CN.ratio_DP","CN.ratio_Plas","CN.ratio_RBC","Culmen_length","date.start","duration","Maxdist","mean.lat","long.trip","short.trip","Predicted_d13C_DP","Normalized"
"NGP09_26102016","NGP","Female",NA,-20.78,-23.71,-19.94,NA,14.67,14.58,14.59,NA,3.39,5.37,3.28,90.7,"2016-09-26 11:11:38",8.97813657407407,1754.29339953208,-40.2858828562791,"Y","N",-26.4277432619877,"N"
"NGP09_KD_SEP_2015",NA,"Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.5,"2015-09-24 09:25:25",8.35592592592593,69.1990013630913,-46.9610412662338,"N","Y",NA,NA
"NGP10_092017","NGP","Female",NA,-19.91,-22.01,-19.25,NA,14.6,14.45,14.3,NA,3.8,4.85,3.18,88.9,"2017-09-28 02:29:48",7.28296296296296,514.489201968803,-46.4689549885714,"Y","Y",-24.1985205238055,"N"
"NGP10_26102016","NGP","Female",NA,-19,-20.57,-18.69,NA,14.79,14.78,14.58,NA,3.47,4.56,3.29,NA,NA,NA,NA,NA,NA,NA,-22.4633770736654,"N"
"NGP10_KD_SEP_2015","NGP","Female",NA,-19.19,-21.19,NA,NA,15.06,14.64,NA,NA,3.52,4.62,NA,NA,NA,NA,NA,NA,NA,NA,-23.1444412357634,"N"
"NGP11_092017","NGP","Female",NA,-19.88,-21.58,-20.75,NA,14.64,14.57,13.44,NA,3.87,4.77,3.2,92,"2017-09-28 14:34:41",6.08262731481481,1413.24536180373,-39.2237183020548,"Y","N",-23.6871016410082,"N"
"NGP11_26102016","NGP","Male",NA,-18.52,-22.37,-18.27,NA,15.75,12.56,14.52,NA,3.44,5.04,3.28,113.9,"2016-09-30 15:45:48",11.787037037037,9.34132209275722,-46.9548269939286,"N","Y",-24.751890370449,"N"
"NGP11_KD_SEP_2015","NGP","Male",NA,-20.06,-22.04,-19.81,NA,13.95,14.09,15.02,NA,3.47,4.74,3.28,107.7,"2015-10-07 11:28:34",6.95371527777778,984.766246607826,-43.3754404375,"Y","N",-24.1165695599593,"N"
"NGP12_092017","NGP","Female",NA,-19.39,-21.61,-19.23,NA,15.01,14.95,14.47,NA,3.77,4.78,3.18,85.3,"2017-10-06 03:44:51",13.1341319444444,1768.61031471579,-40.7478206597444,"Y","N",-23.7272790013579,"N"
"NGP12_26102016","NGP","Female",NA,-25.2433770736654,-23.35,-21.6,NA,NA,11.93,12.51,NA,NA,4.56,3.27,90.6,"2016-10-03 14:49:35",20.739212962963,234.945571160133,-47.0021205552361,"Y","Y",-25.2433770736654,"Y"
"NGP13_092017","NGP","Female",NA,-18.88,-20.8,-18.65,NA,14.81,14.48,13.95,NA,3.61,4.71,3.19,NA,NA,NA,NA,NA,NA,NA,-22.8460374789103,"N"
"NGP13_26102016","NGP","Female",NA,-19.85,-22.03,-19.94,NA,14.36,14.28,13.77,NA,3.35,4.72,3.29,93.7,"2016-09-28 01:48:58",9.22543981481481,1310.75398784936,-43.1425939272727,"Y","N",-24.0862148392599,"N"
"NGP13_KD_SEP_2015","NGP","Female",NA,-20.02,-21.86,-19.42,NA,14.01,13.63,14.61,NA,3.56,4.61,3.27,92.2,"2015-10-04 14:12:33",11.0065856481481,727.211943653997,-46.4593096564885,"Y","Y",-23.8042638754137,"N"
"NGP14_092017","NGP","Female",NA,-19.53,-21.15,-19.48,NA,13.97,14.06,13.96,NA,3.54,4.44,3.16,NA,NA,NA,NA,NA,NA,NA,-22.9212487494695,"N"
"NGP14_26102016","NGP","Female",NA,-20.1,-21.6,-19.47,NA,12.63,15.08,14.4,NA,3.4,4.82,3.29,92.3,"2016-10-02 03:14:25",6.96444444444444,1806.14755131149,-39.7204343065868,"Y","N",-23.7579884427565,"N"
"NGP14_KD_SEP_2015","NGP","Male",NA,-21.72,-24.27,-23.09,NA,12.34,11.77,12.07,NA,3.32,4.62,3.26,110,"2015-10-04 04:33:29",6.15974537037037,1424.20327399639,-49.8943178289474,"Y","N",-26.2244412357634,"N"
"NGP15_092017","NGP","Female",NA,-17.99,-20.03,-18.98,NA,15.07,14.97,13.93,NA,3.5,4.7,3.16,87.4,"2017-10-06 02:24:25",7.25855324074074,1737.74927441648,-39.1312883701149,"Y","N",-22.0658601185606,"N"
"NGP15_26102016","NGP","Female",NA,-19.39,-20.49,-18.43,NA,15.14,15.88,14.99,NA,3.34,4.62,3.27,87.2,"2016-09-29 17:46:57",7.97569444444444,1285.53072162987,-40.679148534555,"Y","Y",-22.4444412357634,"N"
"NGP15_KD_SEP_2015","NGP","Male",NA,-20.4,-22.59,-20.6,NA,13.16,12.98,12.45,NA,3.61,5,3.26,105.4,"2015-10-03 04:48:04",7.58111111111111,25.5935114385103,-46.9301770652174,"N","Y",-24.9311809290504,"N"
"NGP16_092017","NGP","Female",NA,-19.92,-22.2,-19.54,NA,14.46,14.3,13.66,NA,3.69,4.77,3.14,87.8,"2017-09-29 09:12:22",5.24560185185185,519.541959427036,-45.4518067741935,"Y","N",-24.3071016410082,"N"
"NGP16_26102016","NGP","Female",NA,-23.6566790998897,-21,-19.03,NA,NA,14.7,14.07,NA,NA,5.31,3.28,93.8,"2016-09-27 09:44:56",10.9093865740741,1846.63083820427,-40.8126077655172,"Y","N",-23.6566790998897,"Y"
"NGP16_KD_SEP_2015","NGP","Female",NA,-18.56,-20.01,NA,NA,14.75,14.61,NA,NA,3.51,4.58,NA,92.2,"2015-10-03 12:55:52",9.03861111111111,1740.01214722476,-39.7537239622642,"Y","N",-21.9237317943647,"N"
"NGP17_092017","NGP","Female",NA,-18.74,-21.64,-19.04,NA,15.27,15.21,14.48,NA,3.72,5.2,3.19,90.2,"2017-09-27 11:31:02",6.79234953703704,1523.05731653456,-38.1211752650307,"Y","N",-24.1847281360435,"N"
"NGP17_26102016","NGP","Female",NA,-20.88,-23.04,-19.55,NA,14.05,14.04,14.4,NA,3.49,5.21,3.29,93.5,"2016-09-29 04:11:42",7.21460648148148,1422.33098161695,-42.3824071456647,"Y","N",-25.5949054963932,"N"
"NGP17_KD_SEP_2015",NA,"Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.5,"2015-10-04 20:51:47",10.3637037037037,1802.88134064545,-44.0888411934156,"Y","Y",NA,NA
