"Species","sex","d13C_RBC_ave","d13C_Plas_ave","d13C_DP_ave","d15N_RBC_ave","d15N_Plas_ave","d15N_DP_ave","d13C_RBC_sd","d13C_Plas_sd","d13C_DP_sd","d15N_RBC_sd","d15N_Plas_sd","d15N_DP_sd"
"NGP","Female",-19.701935483871,-21.9621212121212,-19.8769696969697,14.1845161290323,14.3569696969697,14.3993939393939,0.782608541374459,1.33865080765989,1.11386569221923,0.438351751524408,0.702430979031414,0.705185877065133
"NGP","Male",-20.5994444444444,-23.0588888888889,-20.69,13.0638888888889,12.8305555555556,13.0911111111111,1.02606886721186,0.930957059026695,0.987265981206209,1.00829581845624,1.08638890351163,1.32031141107779
"SGP","Female",-22.5717391304348,-24.7169565217391,-22.7273913043478,12.2552173913043,12.6704347826087,12.7569565217391,0.301370387848469,0.526009287704113,0.475243644606775,0.330273572074829,0.396535889248944,0.363348502662873
"SGP","Male",-22.285625,-24.009375,-22.119375,11.913125,11.956875,12.0075,0.570753522401162,0.856235705476788,0.596003006144543,0.342319903988458,0.351259044960648,0.348664117262827
