"","individual_id","Culmen_length","sex","sex.m","Maxdist"
"35545","SGP16_102017",83,"Female","Not.sexed",1090.74212163324
"29272","SGP10_03102016",84,"Female","Not.sexed",992.700493591964
"23643","SGP05_102017",84.9,"Female","Not.sexed",1524.57551243691
"39635","SGP22_102017",84.9,"Female","Not.sexed",583.756531079932
"11061","NGP12_092017",85.3,"Female","Not.sexed",1768.61031471579
"26493","SGP07_KD_SEP_2015",85.3,"Female","Not.sexed",904.022173754124
"18338","NGP20_092017",85.6,"Female","Not.sexed",1763.13187209257
"5166","NGP06_092017",87.1,"Female","Not.sexed",631.157407265252
"39398","SGP20_102017",87.1,"Female","Not.sexed",379.675863275693
"14407","NGP15_26102016",87.2,"Female","Not.sexed",1285.53072162987
"6877","NGP08_092017",87.4,"Female","Not.sexed",1665.60479076129
"13977","NGP15_092017",87.4,"Female","Not.sexed",1737.74927441648
"14994","NGP16_092017",87.8,"Female","Not.sexed",519.541959427036
"23036","SGP04_102017",87.9,"Female","Not.sexed",1245.78457215749
"38782","SGP18_KD_SEP_2015",87.9,"Female","Female",1573.71141637591
"24062","SGP05_KD_SEP_2015",88,"Female","Not.sexed",1909.48454350235
"36930","SGP17_102017",88.2,"Female","Not.sexed",1716.88900010519
"5618","NGP06_26102016",88.5,"Female","Not.sexed",538.964604971131
"1","NGP01_092017",88.7,"Female","Not.sexed",660.589839062759
"3222","NGP04_26102016",88.7,"Female","Not.sexed",1723.95445279383
"26018","SGP07_102017",88.7,"Female","Not.sexed",1245.31663599763
"9604","NGP10_092017",88.9,"Female","Not.sexed",514.489201968803
"30796","SGP11_102017",88.9,"Female","Not.sexed",2031.42797805199
"38311","SGP18_102017",89,"Female","Not.sexed",847.764702494359
"21309","SGP01_102017",89.2,"Female","Not.sexed",643.278081617318
"16568","NGP17_KD_SEP_2015",89.5,"Female","Not.sexed",1802.88134064545
"27392","SGP08_102017",89.5,"Female","Not.sexed",1305.60812798813
"267","NGP01_26092016",89.6,"Female","Not.sexed",1804.98825347426
"19761","NGP21_27102016",89.6,"Female","Female",87.9919950785718
