id,d13C,d15N,sex,species,ss
NGP01_KD_SEP_2015,-21.24713656,12.05409453,M,N,MN
NGP02_KD_SEP_2015,-19.81123197,14.70825779,F,N,FN
NGP03_KD_SEP_2015,-20.2375624,13.98841165,M,N,MN
NGP05_KD_SEP_2015,-20.43000323,13.73624997,M,N,MN
NGP06_KD_SEP_2015,-19.71155749,14.78045793,F,N,FN
NGP08_KD_SEP_2015,-20.09347851,14.44316475,F,N,FN
NGP10_KD_SEP_2015,-19.25068639,14.89468501,F,N,FN
NGP11_KD_SEP_2015,-19.81221884,15.01537778,M,N,MN
NGP13_KD_SEP_2015,-19.42042906,14.60803969,F,N,FN
NGP14_KD_SEP_2015,-23.09358158,12.07241397,M,N,MN
NGP15_KD_SEP_2015,-20.60270653,12.45065648,M,N,MN
NGP18_KD_SEP_2015,-20.51783519,14.39790496,F,N,FN
NGP19_KD_SEP_2015,-21.39319421,12.19418435,M,N,MN
SGP02_KD_SEP_2015,-21.59,12.09,M,S,MS
SGP03_KD_SEP_2015,-21.84,11.95,M,S,MS
SGP05_KD_SEP_2015,-22.67,12.34,F,S,FS
SGP06_KD_SEP_2015,-22.01,11.88,M,S,MS
SGP08_KD_SEP_2015,-21.44,11.78,M,S,MS
SGP09_KD_SEP_2015,-21.52,11.79,M,S,MS
SGP10_KD_SEP_2015,-22.36,11.76,M,S,MS
SGP11_KD_SEP_2015,-22.24,12.74,F,S,FS
SGP14_KD_SEP_2015,-22.27,12.45,F,S,FS
SGP15_KD_SEP_2015,-22.61,11.72,M,S,MS
SGP16_KD_SEP_2015,-23.02,12.07,F,S,FS
SGP18_KD_SEP_2015,-22.82,12.71,F,S,FS
SGP19_KD_SEP_2015,-22.4,11.9,M,S,MS
SGP20_KD_SEP_2015,-23.1,12.22,M,S,MS
