"ID","Species","Culmen_Length","sex.x","Deployment.date","Deployment.time..start.","Retrieval.date","Retrieval.time","Maxdist","date.start","date.end","duration","d13C","d15N","sex.y","species","ss","tracked","sampled"
"NGP01_KD_SEP_2015","Northern giant petrel",100.1,"M","15-09-2015","15:25","23-09-2015","12:23",13.2,"2015-09-15 15:25:00","2015-09-23 12:23:00",7.9,-20.821793,11.74697455,"M","NGP","MN","Y","Y"
"NGP02_KD_SEP_2015","Northern giant petrel",-,"F",-,-,-,-,-,-,-,-,-18.38519613,14.81170874,"F","NGP","FN","N","Y"
"NGP03_KD_SEP_2015","Northern giant petrel",102.9,"M","16-09-2015","8:55","30-09-2015","17:28",1221.3,"2015-09-16 08:55:00","2015-09-30 17:28:00",14.4,-18.94,15.58,"M","NGP","MN","Y","Y"
"NGP04_KD_SEP_2015","Northern giant petrel",99.3,"M","16-09-2015","9:46","23-09-2015","11:00",4.1,"2015-09-16 09:46:00","2015-09-23 11:00:00",7.1,-,-,-,-,-,"Y","N"
"NGP05_KD_SEP_2015","Northern giant petrel",103.9,"M","16-09-2015","10:05","30-09-2015","16:35",1609.7,"2015-09-16 10:05:00","2015-09-30 16:35:00",14.3,-19.57832923,13.91405628,"M","NGP","MN","Y","Y"
"NGP06_KD_SEP_2015","Northern giant petrel",92.5,"F","16-09-2015","10:17","30-09-2015","16:21",1817.2,"2015-09-16 10:17:00","2015-09-30 16:21:00",14.3,-19.77,14.53,"F","NGP","FN","Y","Y"
"NGP08_KD_SEP_2015","Northern giant petrel",90.4,"F","16-09-2015","10:58","30-09-2015","16:13",1750.7,"2015-09-16 10:58:00","2015-09-30 16:13:00",14.2,-19.05429806,14.54230524,"F","NGP","FN","Y","Y"
"NGP09_KD_SEP_2015","Northern giant petrel",102.5,"M","16-09-2015","11:13","04-10-2015","12:46",69.2,"2015-09-16 11:13:00","2015-10-04 12:46:00",18.1,-,-,-,-,-,"Y","N"
"NGP10_KD_SEP_2015","Northern giant petrel",-,"F",-,-,-,-,-,-,-,-,-19.19246071,14.64144572,"F","NGP","FN","N","Y"
"NGP11_KD_SEP_2015","Northern giant petrel",107.7,"M","01-10-2015","11:46","15-10-2015","16:28",984.8,"2015-10-01 11:46:00","2015-10-15 16:28:00",14.2,-20.06,14.09,"M","NGP","MN","Y","Y"
"NGP13_KD_SEP_2015","Northern giant petrel",92.2,"F","01-10-2015","12:20","15-10-2015","16:10",726.6,"2015-10-01 12:20:00","2015-10-15 16:10:00",14.2,-20.02439718,13.63172142,"F","NGP","FN","Y","Y"
"NGP14_KD_SEP_2015","Northern giant petrel",110,"M","01-10-2015","12:32","11-10-2015","14:16",1424.2,"2015-10-01 12:32:00","2015-10-11 14:16:00",10.1,-21.71985017,11.77068205,"M","NGP","MN","Y","Y"
"NGP15_KD_SEP_2015","Northern giant petrel",105.4,"M","01-10-2015","12:41","11-10-2015","14:36",25.6,"2015-10-01 12:41:00","2015-10-11 14:36:00",10.1,-20.4,12.98,"M","NGP","MN","Y","Y"
"NGP16_KD_SEP_2015","Northern giant petrel",92.2,"F","01-10-2015","13:37","15-10-2015","15:25",1740,"2015-10-01 13:37:00","2015-10-15 15:25:00",14.1,-18.56,14.61,"F","NGP","FN","Y","Y"
"NGP17_KD_SEP_2015","Northern giant petrel",89.5,"F","01-10-2015","13:41","15-10-2015","15:43",1802.9,"2015-10-01 13:41:00","2015-10-15 15:43:00",14.1,-,-,-,-,-,"Y","N"
"NGP18_KD_SEP_2015","Northern giant petrel",92.7,"F","01-10-2015","13:52","15-10-2015","15:14",96.7,"2015-10-01 13:52:00","2015-10-15 15:14:00",14.1,-21.49188182,13.20175343,"F","NGP","FN","Y","Y"
"NGP19_KD_SEP_2015","Northern giant petrel",-,"M","02-10-2015","8:11","11-10-2015","10:50",42.8,"2015-10-02 08:11:00","2015-10-11 10:50:00",9.1,-21.43957739,11.84827026,"M","NGP","MN","Y","Y"
"NGP20_KD_SEP_2015","Northern giant petrel",104.2,"M","02-10-2015","8:23","16-10-2015","08:30",26.6,"2015-10-02 08:23:00","2015-10-16 08:30:00",14,-,-,-,-,-,"Y","N"
"SGP01_KD_SEP_2015","Southern giant petrel",110.3,"M","24-09-2015","10:25","06-10-2015","12:30",12.6,"2015-09-24 10:25:00","2015-10-06 12:30:00",12.1,-,-,-,-,-,"Y","N"
"SGP02_KD_SEP_2015","Southern giant petrel",-,"M","24-09-2015","10:40","08-10-2015","16:15",21.2,"2015-09-24 10:40:00","2015-10-08 16:15:00",14.2,-21.7,11.91,"M","SGP","MS","Y","Y"
"SGP03_KD_SEP_2015","Southern giant petrel",103.4,"M","24-09-2015","10:55","06-10-2015","12:51",10.2,"2015-09-24 10:55:00","2015-10-06 12:51:00",12.1,-22.31,12.1,"M","SGP","MS","Y","Y"
"SGP04_KD_SEP_2015","Southern giant petrel",92.3,"F","24-09-2015","11:08","06-10-2015","11:52",1389.5,"2015-09-24 11:08:00","2015-10-06 11:52:00",12,-,-,-,-,-,"Y","N"
